[﻿༄། །​ _83_],﻿༄། །​ _83_,﻿༄། །​ _83_,﻿༄༅། །​ _16_,﻿༄། །​ _83_,﻿༄། །​ _83_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[དོན_100_],དོན_100_,དོན_100_,དོན_100_,དོན_100_,དོན_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[གཞི་_100_],གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[ཤིན་_100_],ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རགས་པའི་_83_],རགས་པའི་_83_,རགས་པའི་_83_,རང་སའི་_16_,རགས་པའི་_83_,རགས་པའི་_83_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[གཞག་_83_],གཞག་_83_,གཞག་_83_,བཞག་_16_,གཞག་_83_,གཞག་_83_
[སྟེ_100_],སྟེ_100_,སྟེ_100_,སྟེ_100_,སྟེ_100_,སྟེ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[རྫོགས་_100_],རྫོགས་_100_,རྫོགས་_100_,རྫོགས་_100_,རྫོགས་_100_,རྫོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_
[རྒྱུད་_100_],རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[གཞི་_100_],གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_,གཞི་_100_
